naics_industry,Province,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Manufacturing,Canada,1776.6,1732.6,1721.7,1734.4,1729.8,1767.5,1781.3,1750.2,1669.4,1747.8
Durables,Canada,1072.8,1034.2,1035.1,1042.5,1054.2,1068.7,1072.5,1052.6,989.7,1036.0
Non-durables,Canada,703.8,698.4,686.6,691.9,675.7,698.8,708.8,697.6,679.7,711.7
Manufacturing,Newfoundland and Labrador,11.9,11.9,11.5,12.3,10.4,8.8,9.0,9.4,9.3,10.4
Durables,Newfoundland and Labrador,3.5,4.2,4.9,4.5,3.6,3.3,2.8,2.9,3.0,3.2
Non-durables,Newfoundland and Labrador,8.3,7.7,6.6,7.8,6.7,5.5,6.2,6.6,6.3,7.2
Manufacturing,Prince Edward Island,5.3,5.1,5.6,6.0,6.0,6.3,6.8,6.6,6.6,7.1
Durables,Prince Edward Island,1.6,1.7,2.2,1.8,2.1,2.3,2.5,2.7,2.4,2.3
Non-durables,Prince Edward Island,3.6,3.4,3.3,4.2,3.9,4.0,4.4,3.9,4.2,4.8
Manufacturing,Nova Scotia,34.3,31.4,29.6,28.4,29.0,30.8,32.8,33.4,32.6,33.0
Durables,Nova Scotia,15.3,13.3,12.9,14.0,14.1,14.7,15.3,15.2,14.5,14.4
Non-durables,Nova Scotia,19.0,18.1,16.7,14.3,14.9,16.1,17.5,18.2,18.1,18.6
Manufacturing,New Brunswick,28.9,28.8,29.1,31.0,31.7,31.4,31.6,31.3,30.5,29.8
Durables,New Brunswick,13.4,12.8,13.4,13.1,15.9,14.6,16.3,14.5,13.9,13.3
Non-durables,New Brunswick,15.5,16.0,15.8,17.9,15.8,16.9,15.4,16.8,16.6,16.5
Manufacturing,Quebec,503.7,491.1,476.2,480.9,483.9,495.8,502.0,498.9,472.7,487.2
Durables,Quebec,284.4,275.6,272.4,278.7,280.1,277.9,287.3,293.0,276.4,285.0
Non-durables,Quebec,219.3,215.5,203.8,202.3,203.8,217.9,214.7,205.8,196.3,202.2
Manufacturing,Ontario,788.2,769.6,763.1,765.1,784.1,797.6,793.7,770.0,732.6,775.2
Durables,Ontario,504.3,491.9,484.6,484.5,508.9,524.4,511.4,483.4,458.8,488.0
Non-durables,Ontario,283.9,277.6,278.5,280.6,275.2,273.2,282.2,286.6,273.8,287.2
Manufacturing,Manitoba,63.2,62.4,64.1,64.5,64.7,64.2,62.8,63.8,60.5,65.5
Durables,Manitoba,38.1,37.6,38.3,37.4,37.7,37.7,35.9,37.8,33.7,36.2
Non-durables,Manitoba,25.1,24.8,25.8,27.1,27.0,26.5,26.9,26.0,26.9,29.4
Manufacturing,Saskatchewan,28.2,30.5,29.4,27.3,25.5,28.8,28.3,30.3,30.8,31.6
Durables,Saskatchewan,18.0,19.1,17.8,17.7,15.7,18.1,17.0,18.4,18.8,18.7
Non-durables,Saskatchewan,10.1,11.4,11.6,9.6,9.8,10.7,11.3,11.9,11.9,12.9
Manufacturing,Alberta,139.3,142.8,145.4,141.7,116.7,119.5,132.9,133.9,125.9,124.6
Durables,Alberta,88.8,82.8,88.9,87.2,69.5,68.9,78.4,77.6,69.3,70.8
Non-durables,Alberta,50.6,59.9,56.5,54.5,47.2,50.6,54.5,56.3,56.6,53.8
Manufacturing,British Columbia,173.7,158.8,167.7,177.2,177.8,184.2,181.4,172.7,167.8,183.4
Durables,British Columbia,105.4,95.1,99.6,103.7,106.4,106.9,105.8,107.3,98.8,104.2
Non-durables,British Columbia,68.3,63.8,68.0,73.5,71.3,77.4,75.6,65.4,68.9,79.2